# energy dos(up) dos(down)
-8.994999999999999218e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.984999999999999432e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.974999999999999645e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.964999999999999858e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.955000000000000071e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.945000000000000284e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.935000000000000497e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.925000000000000711e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.915000000000000924e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.905000000000001137e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.895000000000001350e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.885000000000001563e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.875000000000001776e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.865000000000001990e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.855000000000002203e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.845000000000002416e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.835000000000002629e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.825000000000002842e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.815000000000003055e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.805000000000003268e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.795000000000003482e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.785000000000003695e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.775000000000003908e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.765000000000004121e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.755000000000004334e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.745000000000004547e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.735000000000004761e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.725000000000004974e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.715000000000005187e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.705000000000005400e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.695000000000005613e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.685000000000005826e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.675000000000006040e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-8.665000000000006253e+00 0.000000000000000000e+00 -0.000000000000000000e+00
