# energy s(up) s(down) p(up) p(down) d(up) d(down)
-7.994999999999999218e+00 1.736115035758682896e-04 -0.000000000000000000e+00 2.093538160429026982e-05 -0.000000000000000000e+00 5.842684830735493939e-01 -0.000000000000000000e+00
-7.984999999999999432e+00 1.723022107034283019e-04 -0.000000000000000000e+00 2.088202976746331285e-05 -0.000000000000000000e+00 5.799239195629419807e-01 -0.000000000000000000e+00
-7.974999999999999645e+00 1.697119753805704351e-04 -0.000000000000000000e+00 2.077258102305785939e-05 -0.000000000000000000e+00 5.713301075443970589e-01 -0.000000000000000000e+00
-7.964999999999999858e+00 1.658965416323668449e-04 -0.000000000000000000e+00 2.060187882630040289e-05 -0.000000000000000000e+00 5.586742469014023271e-01 -0.000000000000000000e+00
-7.955000000000000071e+00 1.609371736085513300e-04 -0.000000000000000000e+00 2.036298693158332515e-05 -0.000000000000000000e+00 5.422287327300689963e-01 -0.000000000000000000e+00
-7.945000000000000284e+00 1.549379441257563183e-04 -0.000000000000000000e+00 2.004805261299970640e-05 -0.000000000000000000e+00 5.223415364371120084e-01 -0.000000000000000000e+00
-7.935000000000000497e+00 1.480222991585953163e-04 -0.000000000000000000e+00 1.964931098175274715e-05 -0.000000000000000000e+00 4.994241268243836962e-01 -0.000000000000000000e+00
-7.925000000000000711e+00 1.403290425791151378e-04 -0.000000000000000000e+00 1.916012669935960458e-05 -0.000000000000000000e+00 4.739375100833915777e-01 -0.000000000000000000e+00
-7.915000000000000924e+00 1.320079094150410873e-04 -0.000000000000000000e+00 1.857596758226528398e-05 -0.000000000000000000e+00 4.463770419758197883e-01 -0.000000000000000000e+00
-7.905000000000001137e+00 1.232149121113364546e-04 -0.000000000000000000e+00 1.789521417914144357e-05 -0.000000000000000000e+00 4.172567009716288688e-01 -0.000000000000000000e+00
-7.895000000000001350e+00 1.141076516620195770e-04 -0.000000000000000000e+00 1.711972885432678661e-05 -0.000000000000000000e+00 3.870935070597548711e-01 -0.000000000000000000e+00
-7.885000000000001563e+00 1.048407833642587341e-04 -0.000000000000000000e+00 1.625513459527790541e-05 -0.000000000000000000e+00 3.563927293844473265e-01 -0.000000000000000000e+00
-7.875000000000001776e+00 9.556181519747940071e-05 -0.000000000000000000e+00 1.531078432208576431e-05 -0.000000000000000000e+00 3.256344512890254062e-01 -0.000000000000000000e+00
-7.865000000000001990e+00 8.640739592533480922e-05 -0.000000000000000000e+00 1.429943229903794306e-05 -0.000000000000000000e+00 2.952619602388091291e-01 -0.000000000000000000e+00
-7.855000000000002203e+00 7.750022108564841869e-05 -0.000000000000000000e+00 1.323664692962560574e-05 -0.000000000000000000e+00 2.656723102883315479e-01 -0.000000000000000000e+00
-7.845000000000002416e+00 6.894664981430841436e-05 -0.000000000000000000e+00 1.214002597475085258e-05 -0.000000000000000000e+00 2.372092748000351192e-01 -0.000000000000000000e+00
-7.835000000000002629e+00 6.083508619080566871e-05 -0.000000000000000000e+00 1.102828920038963911e-05 -0.000000000000000000e+00 2.101587755901720145e-01 -0.000000000000000000e+00
-7.825000000000002842e+00 5.323513807548584684e-05 -0.000000000000000000e+00 9.920328829504763014e-06 -0.000000000000000000e+00 1.847467495653492275e-01 -0.000000000000000000e+00
-7.815000000000003055e+00 4.619752692395775941e-05 -0.000000000000000000e+00 8.834295196632167157e-06 -0.000000000000000000e+00 1.611393021106891921e-01 -0.000000000000000000e+00
