# energy s(up) s(down) p(up) p(down)
-7.994999999999999218e+00 -3.630129167528917664e-04 -0.000000000000000000e+00 1.866717570580652601e-04 -0.000000000000000000e+00
-7.984999999999999432e+00 -3.599799768607332175e-04 -0.000000000000000000e+00 1.860642601455122006e-04 -0.000000000000000000e+00
-7.974999999999999645e+00 -3.539923599522153000e-04 -0.000000000000000000e+00 1.848396985150146932e-04 -0.000000000000000000e+00
-7.964999999999999858e+00 -3.452031110023204351e-04 -0.000000000000000000e+00 1.829803884218473523e-04 -0.000000000000000000e+00
-7.955000000000000071e+00 -3.338333197760241420e-04 -0.000000000000000000e+00 1.804632879761151594e-04 -0.000000000000000000e+00
-7.945000000000000284e+00 -3.201625563272539874e-04 -0.000000000000000000e+00 1.772637843933733202e-04 -0.000000000000000000e+00
-7.935000000000000497e+00 -3.045170774949237523e-04 -0.000000000000000000e+00 1.733601327081542602e-04 -0.000000000000000000e+00
-7.925000000000000711e+00 -2.872565219134932198e-04 -0.000000000000000000e+00 1.687381056933282312e-04 -0.000000000000000000e+00
-7.915000000000000924e+00 -2.687598727206985845e-04 -0.000000000000000000e+00 1.633953974759457287e-04 -0.000000000000000000e+00
-7.905000000000001137e+00 -2.494114687909998896e-04 -0.000000000000000000e+00 1.573453517955710325e-04 -0.000000000000000000e+00
-7.895000000000001350e+00 -2.295877903448509893e-04 -0.000000000000000000e+00 1.506196557196490455e-04 -0.000000000000000000e+00
-7.885000000000001563e+00 -2.096456416316776151e-04 -0.000000000000000000e+00 1.432697422936358598e-04 -0.000000000000000000e+00
-7.875000000000001776e+00 -1.899122143365962489e-04 -0.000000000000000000e+00 1.353667692799361845e-04 -0.000000000000000000e+00
-7.865000000000001990e+00 -1.706773549520128970e-04 -0.000000000000000000e+00 1.270001723714027115e-04 -0.000000000000000000e+00
-7.855000000000002203e+00 -1.521881926842963211e-04 -0.000000000000000000e+00 1.182749165270975699e-04 -0.000000000000000000e+00
-7.845000000000002416e+00 -1.346461256025189299e-04 -0.000000000000000000e+00 1.093076762991735393e-04 -0.000000000000000000e+00
-7.835000000000002629e+00 -1.182060234122191166e-04 -0.000000000000000000e+00 1.002222558327207750e-04 -0.000000000000000000e+00
-7.825000000000002842e+00 -1.029773939490658333e-04 -0.000000000000000000e+00 9.114460580214535281e-05 -0.000000000000000000e+00
-7.815000000000003055e+00 -8.902718207353178847e-05 -0.000000000000000000e+00 8.219780597795942078e-05 -0.000000000000000000e+00
-7.805000000000003268e+00 -7.638382532605450504e-05 -0.000000000000000000e+00 7.349736025208246945e-05 -0.000000000000000000e+00
-7.795000000000003482e+00 -6.504217850044263565e-05 -0.000000000000000000e+00 6.514710086432704092e-05 -0.000000000000000000e+00
-7.785000000000003695e+00 -5.496893476071157685e-05 -0.000000000000000000e+00 5.723592769334889444e-05 -0.000000000000000000e+00
-7.775000000000003908e+00 -4.610820799617948364e-05 -0.000000000000000000e+00 4.983552552667458598e-05 -0.000000000000000000e+00
-7.765000000000004121e+00 -3.838699298266748101e-05 -0.000000000000000000e+00 4.299911614898504196e-05 -0.000000000000000000e+00
-7.755000000000004334e+00 -3.172027986028615101e-05 -0.000000000000000000e+00 3.676122106829321089e-05 -0.000000000000000000e+00
-7.745000000000004547e+00 -2.601566141400391647e-05 -0.000000000000000000e+00 3.113834138980664111e-05 -0.000000000000000000e+00
-7.735000000000004761e+00 -2.117733073842944231e-05 -0.000000000000000000e+00 2.613040837679221683e-05 -0.000000000000000000e+00
-7.725000000000004974e+00 -1.710941950571905724e-05 -0.000000000000000000e+00 2.172282401245326179e-05 -0.000000000000000000e+00
-7.715000000000005187e+00 -1.371867101737178546e-05 -0.000000000000000000e+00 1.788889565562724564e-05 -0.000000000000000000e+00
-7.705000000000005400e+00 -1.091647652325910152e-05 -0.000000000000000000e+00 1.459247108119616697e-05 -0.000000000000000000e+00
-7.695000000000005613e+00 -8.614790039434926913e-06 -0.000000000000000000e+00 1.178450576993678843e-05 -0.000000000000000000e+00
-7.685000000000005826e+00 -6.746648616900260585e-06 -0.000000000000000000e+00 9.424233583122868771e-06 -0.000000000000000000e+00
-7.675000000000006040e+00 -5.246501490703263273e-06 -0.000000000000000000e+00 7.471851818078856979e-06 -0.000000000000000000e+00
-7.665000000000006253e+00 -4.047711299122856861e-06 -0.000000000000000000e+00 5.864604971575708883e-06 -0.000000000000000000e+00
-7.655000000000006466e+00 -3.100564295712791124e-06 -0.000000000000000000e+00 4.549007147438418081e-06 -0.000000000000000000e+00
-7.645000000000006679e+00 -2.353865900583906394e-06 -0.000000000000000000e+00 3.502585909493105056e-06 -0.000000000000000000e+00
-7.635000000000006892e+00 -1.772054715405556086e-06 -0.000000000000000000e+00 2.671749105205359235e-06 -0.000000000000000000e+00
-7.625000000000007105e+00 -1.319076876319578940e-06 -0.000000000000000000e+00 2.019266305554288135e-06 -0.000000000000000000e+00
-7.615000000000007319e+00 -9.720115393986054505e-07 -0.000000000000000000e+00 1.514220517631009938e-06 -0.000000000000000000e+00
-7.605000000000007532e+00 -7.044803307580237590e-07 -0.000000000000000000e+00 1.122571575763164796e-06 -0.000000000000000000e+00
-7.595000000000007745e+00 -4.978623132222292701e-07 -0.000000000000000000e+00 8.221578538305120381e-07 -0.000000000000000000e+00
-7.585000000000007958e+00 -3.449083188594622253e-07 -0.000000000000000000e+00 5.959910016720769784e-07 -0.000000000000000000e+00
-7.575000000000008171e+00 -2.388240257860302230e-07 -0.000000000000000000e+00 4.296266289596865956e-07 -0.000000000000000000e+00
-7.565000000000008384e+00 -1.658924453314759549e-07 -0.000000000000000000e+00 3.092562427970768806e-07 -0.000000000000000000e+00
-7.555000000000008598e+00 -1.136342597014925800e-07 -0.000000000000000000e+00 2.182776403181758914e-07 -0.000000000000000000e+00
-7.545000000000008811e+00 -7.980041600126599676e-08 -0.000000000000000000e+00 1.513689809236520179e-07 -0.000000000000000000e+00
-7.535000000000009024e+00 -5.580954877976763527e-08 -0.000000000000000000e+00 1.022709578693655591e-07 -0.000000000000000000e+00
-7.525000000000009237e+00 -4.109805176859020691e-08 -0.000000000000000000e+00 5.814364008478236536e-08 -0.000000000000000000e+00
-7.515000000000009450e+00 -2.801771790982850137e-08 -0.000000000000000000e+00 3.726875855983793302e-08 -0.000000000000000000e+00
-7.505000000000009663e+00 -1.899761185183557529e-08 -0.000000000000000000e+00 2.524210250717317451e-08 -0.000000000000000000e+00
-7.495000000000009877e+00 -8.303021962805197118e-09 -0.000000000000000000e+00 9.132360851889424811e-09 -0.000000000000000000e+00
-7.485000000000010090e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.475000000000010303e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.465000000000010516e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.455000000000010729e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.445000000000010942e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.435000000000011156e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.425000000000011369e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.415000000000011582e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.405000000000011795e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.395000000000012008e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.385000000000012221e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.375000000000012434e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.365000000000012648e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.355000000000012861e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.345000000000013074e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.335000000000013287e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.325000000000013500e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.315000000000013713e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.305000000000013927e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.295000000000014140e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.285000000000014353e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.275000000000014566e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.265000000000014779e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.255000000000014992e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.245000000000015206e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.235000000000015419e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.225000000000015632e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.215000000000015845e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.205000000000016058e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.195000000000016271e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.185000000000016485e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.175000000000016698e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.165000000000016911e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.155000000000017124e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.145000000000017337e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.135000000000017550e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.125000000000017764e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.115000000000017977e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.105000000000018190e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.095000000000018403e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.085000000000018616e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.075000000000018829e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.065000000000019043e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.055000000000019256e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.045000000000019469e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.035000000000019682e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.025000000000019895e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.015000000000020108e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-7.005000000000020322e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.995000000000020535e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.985000000000020748e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.975000000000020961e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.965000000000021174e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.955000000000021387e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.945000000000021600e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.935000000000021814e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.925000000000022027e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.915000000000022240e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.905000000000022453e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.895000000000022666e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.885000000000022879e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.875000000000023093e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.865000000000023306e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.855000000000023519e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.845000000000023732e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.835000000000023945e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.825000000000024158e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.815000000000024372e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.805000000000024585e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.795000000000024798e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.785000000000025011e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.775000000000025224e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.765000000000025437e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.755000000000025651e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.745000000000025864e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.735000000000026077e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.725000000000026290e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.715000000000026503e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.705000000000026716e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.695000000000026930e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.685000000000027143e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.675000000000027356e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.665000000000027569e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.655000000000027782e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.645000000000027995e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.635000000000028209e+00 0.000000000000000000e+00 -0.000000000000000000e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.625000000000028422e+00 7.423644406888418283e-10 -0.000000000000000000e+00 4.790214354012204702e-09 -0.000000000000000000e+00
-6.615000000000028635e+00 1.101954039660345072e-09 -0.000000000000000000e+00 7.110518458218038859e-09 -0.000000000000000000e+00
-6.605000000000028848e+00 -2.231681447862333622e-09 -0.000000000000000000e+00 1.683740732728574989e-08 -0.000000000000000000e+00
-6.595000000000029061e+00 -6.727978157258873415e-09 -0.000000000000000000e+00 2.433736892292246678e-08 -0.000000000000000000e+00
-6.585000000000029274e+00 -1.000584217192412158e-08 -0.000000000000000000e+00 3.531894765107929948e-08 -0.000000000000000000e+00
-6.575000000000029488e+00 -1.472930504637826698e-08 -0.000000000000000000e+00 5.075018594769568330e-08 -0.000000000000000000e+00
-6.565000000000029701e+00 -2.146220942613576519e-08 -0.000000000000000000e+00 7.220436029212760624e-08 -0.000000000000000000e+00
-6.555000000000029914e+00 -3.095522736955198253e-08 -0.000000000000000000e+00 1.017150598847321175e-07 -0.000000000000000000e+00
-6.545000000000030127e+00 -4.419413294503677114e-08 -0.000000000000000000e+00 1.418741517249749790e-07 -0.000000000000000000e+00
-6.535000000000030340e+00 -6.245536722312864193e-08 -0.000000000000000000e+00 1.959375214884825244e-07 -0.000000000000000000e+00
-6.525000000000030553e+00 -8.613908128391517756e-08 -0.000000000000000000e+00 2.670487550104428931e-07 -0.000000000000000000e+00
-6.515000000000030767e+00 -1.191565913674730398e-07 -0.000000000000000000e+00 3.614590697360993911e-07 -0.000000000000000000e+00
-6.505000000000030980e+00 -1.546846778186249492e-07 -0.000000000000000000e+00 4.715155085162344871e-07 -0.000000000000000000e+00
-6.495000000000031193e+00 -2.056665901094156195e-07 -0.000000000000000000e+00 6.186115207963849960e-07 -0.000000000000000000e+00
-6.485000000000031406e+00 -2.692019215647310889e-07 -0.000000000000000000e+00 7.987790759406799465e-07 -0.000000000000000000e+00
-6.475000000000031619e+00 -3.537492360494925413e-07 -0.000000000000000000e+00 1.031568548258744258e-06 -0.000000000000000000e+00
-6.465000000000031832e+00 -4.595517984775123554e-07 -0.000000000000000000e+00 1.317734986850744820e-06 -0.000000000000000000e+00
-6.455000000000032045e+00 -5.900962633955446597e-07 -0.000000000000000000e+00 1.664769753046593590e-06 -0.000000000000000000e+00
-6.445000000000032259e+00 -7.488182371508021609e-07 -0.000000000000000000e+00 2.079714276013738324e-06 -0.000000000000000000e+00
-6.435000000000032472e+00 -9.388499924829908823e-07 -0.000000000000000000e+00 2.568570613792119250e-06 -0.000000000000000000e+00
