# energy s(up) s(down) p(up) p(down)
-7.994999999999999218e+00 8.777590944501922898e-03 -0.000000000000000000e+00 7.472244678587612599e-02 -0.000000000000000000e+00
-7.984999999999999432e+00 8.727008116270825941e-03 -0.000000000000000000e+00 7.422060846832191638e-02 -0.000000000000000000e+00
-7.974999999999999645e+00 8.626534291715667185e-03 -0.000000000000000000e+00 7.322641125870869849e-02 -0.000000000000000000e+00
-7.964999999999999858e+00 8.477547833058029017e-03 -0.000000000000000000e+00 7.175854460679902125e-02 -0.000000000000000000e+00
-7.955000000000000071e+00 8.282102030921618951e-03 -0.000000000000000000e+00 6.984437796207709770e-02 -0.000000000000000000e+00
-7.945000000000000284e+00 8.042905369297083731e-03 -0.000000000000000000e+00 6.751918749393406860e-02 -0.000000000000000000e+00
-7.935000000000000497e+00 7.763291297587356088e-03 -0.000000000000000000e+00 6.482516511979959095e-02 -0.000000000000000000e+00
-7.925000000000000711e+00 7.447175031034846890e-03 -0.000000000000000000e+00 6.181024296373761884e-02 -0.000000000000000000e+00
-7.915000000000000924e+00 7.098995236033522893e-03 -0.000000000000000000e+00 5.852677301204434190e-02 -0.000000000000000000e+00
-7.905000000000001137e+00 6.723639230982351306e-03 -0.000000000000000000e+00 5.503010715042055967e-02 -0.000000000000000000e+00
-7.895000000000001350e+00 6.326351472122224151e-03 -0.000000000000000000e+00 5.137712663715784250e-02 -0.000000000000000000e+00
-7.885000000000001563e+00 5.912626473498762587e-03 -0.000000000000000000e+00 4.762477208539348666e-02 -0.000000000000000000e+00
-7.875000000000001776e+00 5.488088773784210658e-03 -0.000000000000000000e+00 4.382862494834190159e-02 -0.000000000000000000e+00
-7.865000000000001990e+00 5.058363939971530047e-03 -0.000000000000000000e+00 4.004158917350077868e-02 -0.000000000000000000e+00
-7.855000000000002203e+00 4.628945726937522091e-03 -0.000000000000000000e+00 3.631271709396016040e-02 -0.000000000000000000e+00
-7.845000000000002416e+00 4.205065258590864018e-03 -0.000000000000000000e+00 3.268621688945037157e-02 -0.000000000000000000e+00
-7.835000000000002629e+00 3.791568370498776992e-03 -0.000000000000000000e+00 2.920067037100299370e-02 -0.000000000000000000e+00
