# energy s(up) s(down) p(up) p(down) d(up) d(down)
-7.994999999999999218e+00 9.455684992993571058e-04 -0.000000000000000000e+00 1.096109703983165875e-03 -0.000000000000000000e+00 9.324546714549212731e-03 -0.000000000000000000e+00
-7.984999999999999432e+00 9.399981931636280453e-04 -0.000000000000000000e+00 1.091349425764467007e-03 -0.000000000000000000e+00 9.265400351966591314e-03 -0.000000000000000000e+00
-7.974999999999999645e+00 9.289380067385175424e-04 -0.000000000000000000e+00 1.081837603846657996e-03 -0.000000000000000000e+00 9.148119739504731451e-03 -0.000000000000000000e+00
-7.964999999999999858e+00 9.125478671502353957e-04 -0.000000000000000000e+00 1.067595844171358860e-03 -0.000000000000000000e+00 8.974705832681291462e-03 -0.000000000000000000e+00
-7.955000000000000071e+00 8.910652719985467539e-04 -0.000000000000000000e+00 1.048666407843721433e-03 -0.000000000000000000e+00 8.748102217213142226e-03 -0.000000000000000000e+00
-7.945000000000000284e+00 8.648022044573417007e-04 -0.000000000000000000e+00 1.025122715307394319e-03 -0.000000000000000000e+00 8.472126652066893499e-03 -0.000000000000000000e+00
-7.935000000000000497e+00 8.341407090638265675e-04 -0.000000000000000000e+00 9.970813093834580108e-04 -0.000000000000000000e+00 8.151381516695433913e-03 -0.000000000000000000e+00
-7.925000000000000711e+00 7.995269437077963176e-04 -0.000000000000000000e+00 9.647138173412624518e-04 -0.000000000000000000e+00 7.791144857798484001e-03 -0.000000000000000000e+00
-7.915000000000000924e+00 7.614635660834207908e-04 -0.000000000000000000e+00 9.282574108052018538e-04 -0.000000000000000000e+00 7.397244369987068628e-03 -0.000000000000000000e+00
-7.905000000000001137e+00 7.205003956373153386e-04 -0.000000000000000000e+00 8.880223800777612862e-04 -0.000000000000000000e+00 6.975917347522939994e-03 -0.000000000000000000e+00
-7.895000000000001350e+00 6.772234071437099314e-04 -0.000000000000000000e+00 8.443957010091567104e-04 -0.000000000000000000e+00 6.533660360360264360e-03 -0.000000000000000000e+00
-7.885000000000001563e+00 6.322422470718634929e-04 -0.000000000000000000e+00 7.978398471466210300e-04 -0.000000000000000000e+00 6.077073070092239848e-03 -0.000000000000000000e+00
-7.875000000000001776e+00 5.861766034173556805e-04 -0.000000000000000000e+00 7.488865454888734034e-04 -0.000000000000000000e+00 5.612701135031619021e-03 -0.000000000000000000e+00
-7.865000000000001990e+00 5.396418871091647647e-04 -0.000000000000000000e+00 6.981256425571972981e-04 -0.000000000000000000e+00 5.146883485323033164e-03 -0.000000000000000000e+00
-7.855000000000002203e+00 4.932347829775764929e-04 -0.000000000000000000e+00 6.461896900508303085e-04 -0.000000000000000000e+00 4.685609317570007919e-03 -0.000000000000000000e+00
-7.845000000000002416e+00 4.475192880437214795e-04 -0.000000000000000000e+00 5.937352325066835770e-04 -0.000000000000000000e+00 4.234389923935663949e-03 -0.000000000000000000e+00
-7.835000000000002629e+00 4.030138665151611365e-04 -0.000000000000000000e+00 5.414220491855465398e-04 -0.000000000000000000e+00 3.798149920666754869e-03 -0.000000000000000000e+00
-7.825000000000002842e+00 3.601803116587971691e-04 -0.000000000000000000e+00 4.898917477148478309e-04 -0.000000000000000000e+00 3.381141593916026870e-03 -0.000000000000000000e+00
-7.815000000000003055e+00 3.194148175509522992e-04 -0.000000000000000000e+00 4.397471209606685543e-04 -0.000000000000000000e+00 2.986884985124826745e-03 -0.000000000000000000e+00
-7.805000000000003268e+00 2.810416365165546823e-04 -0.000000000000000000e+00 3.915335682905894525e-04 -0.000000000000000000e+00 2.618135068275505642e-03 -0.000000000000000000e+00
-7.795000000000003482e+00 2.453095427782304885e-04 -0.000000000000000000e+00 3.457236670386592083e-04 -0.000000000000000000e+00 2.276876019331783730e-03 -0.000000000000000000e+00
-7.785000000000003695e+00 2.123911538166298229e-04 -0.000000000000000000e+00 3.027056878044100076e-04 -0.000000000000000000e+00 1.964341244869657194e-03 -0.000000000000000000e+00
-7.775000000000003908e+00 1.823849933218048356e-04 -0.000000000000000000e+00 2.627765115658001844e-04 -0.000000000000000000e+00 1.681056620865921608e-03 -0.000000000000000000e+00
-7.765000000000004121e+00 1.553200275871399261e-04 -0.000000000000000000e+00 2.261390619082588311e-04 -0.000000000000000000e+00 1.426903380327063011e-03 -0.000000000000000000e+00
-7.755000000000004334e+00 1.311622825777254762e-04 -0.000000000000000000e+00 1.929040437516827593e-04 -0.000000000000000000e+00 1.201196345944093328e-03 -0.000000000000000000e+00
-7.745000000000004547e+00 1.098230600729540256e-04 -0.000000000000000000e+00 1.630955068755813393e-04 -0.000000000000000000e+00 1.002772771194713640e-03 -0.000000000000000000e+00
-7.735000000000004761e+00 9.116822260757692197e-05 -0.000000000000000000e+00 1.366595466361022896e-04 -0.000000000000000000e+00 8.300869416593548286e-04 -0.000000000000000000e+00
-7.725000000000004974e+00 7.502800870768428670e-05 -0.000000000000000000e+00 1.134753252010000605e-04 -0.000000000000000000e+00 6.813058813575224425e-04 -0.000000000000000000e+00
-7.715000000000005187e+00 6.120686874218918521e-05 -0.000000000000000000e+00 9.336754554199717211e-05 -0.000000000000000000e+00 5.544019661355184233e-04 -0.000000000000000000e+00
-7.705000000000005400e+00 4.949287125434070650e-05 -0.000000000000000000e+00 7.611953100597449611e-05 -0.000000000000000000e+00 4.472389088728598696e-04 -0.000000000000000000e+00
-7.695000000000005613e+00 3.964716635066704159e-05 -0.000000000000000000e+00 6.144745734271589996e-05 -0.000000000000000000e+00 3.574750236867131831e-04 -0.000000000000000000e+00
-7.685000000000005826e+00 3.146818200809302926e-05 -0.000000000000000000e+00 4.913836429611305391e-05 -0.000000000000000000e+00 2.831555820543636866e-04 -0.000000000000000000e+00
-7.675000000000006040e+00 2.477609033611691123e-05 -0.000000000000000000e+00 3.896735066564542798e-05 -0.000000000000000000e+00 2.225077683301262632e-04 -0.000000000000000000e+00
-7.665000000000006253e+00 1.932782625599873305e-05 -0.000000000000000000e+00 3.060566818892392586e-05 -0.000000000000000000e+00 1.732544084173784403e-04 -0.000000000000000000e+00
-7.655000000000006466e+00 1.491570521471351159e-05 -0.000000000000000000e+00 2.378268446094237171e-05 -0.000000000000000000e+00 1.335191516267942842e-04 -0.000000000000000000e+00
-7.645000000000006679e+00 1.141835443551960792e-05 -0.000000000000000000e+00 1.832035838097759818e-05 -0.000000000000000000e+00 1.020549446168154278e-04 -0.000000000000000000e+00
-7.635000000000006892e+00 8.663002889768339881e-06 -0.000000000000000000e+00 1.398743570329334670e-05 -0.000000000000000000e+00 7.730840436228950097e-05 -0.000000000000000000e+00
-7.625000000000007105e+00 6.508313891979329014e-06 -0.000000000000000000e+00 1.057234438611445729e-05 -0.000000000000000000e+00 5.797453229596160544e-05 -0.000000000000000000e+00
-7.615000000000007319e+00 4.839967044645798802e-06 -0.000000000000000000e+00 7.916603835994953889e-06 -0.000000000000000000e+00 4.306408098670669332e-05 -0.000000000000000000e+00
-7.605000000000007532e+00 3.566934678756272845e-06 -0.000000000000000000e+00 5.874460706925601833e-06 -0.000000000000000000e+00 3.169397274485348092e-05 -0.000000000000000000e+00
-7.595000000000007745e+00 2.597118355740332068e-06 -0.000000000000000000e+00 4.310376031677485152e-06 -0.000000000000000000e+00 2.297074515749148192e-05 -0.000000000000000000e+00
-7.585000000000007958e+00 1.870308992462902784e-06 -0.000000000000000000e+00 3.130657077424319872e-06 -0.000000000000000000e+00 1.644875251946228707e-05 -0.000000000000000000e+00
-7.575000000000008171e+00 1.336445782394391754e-06 -0.000000000000000000e+00 2.256695561152925680e-06 -0.000000000000000000e+00 1.174249364961622066e-05 -0.000000000000000000e+00
-7.565000000000008384e+00 9.405625000506423685e-07 -0.000000000000000000e+00 1.606306390253803122e-06 -0.000000000000000000e+00 8.263505859529590334e-06 -0.000000000000000000e+00
