# energy dos(up) dos(down)
-7.994999999999999218e+00 6.799199871225315439e-01 -0.000000000000000000e+00
-7.984999999999999432e+00 6.749491004573024977e-01 -0.000000000000000000e+00
-7.974999999999999645e+00 6.651139666247865012e-01 -0.000000000000000000e+00
-7.964999999999999858e+00 6.506241402333600155e-01 -0.000000000000000000e+00
-7.955000000000000071e+00 6.317848201419413723e-01 -0.000000000000000000e+00
-7.945000000000000284e+00 6.089863772373851347e-01 -0.000000000000000000e+00
-7.935000000000000497e+00 5.826911724969632278e-01 -0.000000000000000000e+00
-7.925000000000000711e+00 5.534182744296256562e-01 -0.000000000000000000e+00
-7.915000000000000924e+00 5.217267669914290584e-01 -0.000000000000000000e+00
-7.905000000000001137e+00 4.881983817648252177e-01 -0.000000000000000000e+00
-7.895000000000001350e+00 4.534201904010825013e-01 -0.000000000000000000e+00
-7.885000000000001563e+00 4.179680565397250747e-01 -0.000000000000000000e+00
-7.875000000000001776e+00 3.823914745734357523e-01 -0.000000000000000000e+00
-7.865000000000001990e+00 3.472003217060755653e-01 -0.000000000000000000e+00
-7.855000000000002203e+00 3.128539272641564506e-01 -0.000000000000000000e+00
-7.845000000000002416e+00 2.797527275960137727e-01 -0.000000000000000000e+00
-7.835000000000002629e+00 2.482326348426761309e-01 -0.000000000000000000e+00
-7.825000000000002842e+00 2.185621117830333082e-01 -0.000000000000000000e+00
-7.815000000000003055e+00 1.909418203733534714e-01 -0.000000000000000000e+00
-7.805000000000003268e+00 1.655066047447216193e-01 -0.000000000000000000e+00
-7.795000000000003482e+00 1.423294849017542607e-01 -0.000000000000000000e+00
-7.785000000000003695e+00 1.214272779988378737e-01 -0.000000000000000000e+00
-7.775000000000003908e+00 1.027674308433117883e-01 -0.000000000000000000e+00
-7.765000000000004121e+00 8.627563944104307825e-02 -0.000000000000000000e+00
-7.755000000000004334e+00 7.184384668629639759e-02 -0.000000000000000000e+00
-7.745000000000004547e+00 5.933824420724342213e-02 -0.000000000000000000e+00
